DIVISION,REGION
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
SURESTE,61 CHIAPAS
NORTE,21 HUASTECA
NORTE,21 HUASTECA
NORTE,20 NORESTE
SURESTE,62 PENINSULA
METRO SUR,41 METRO SURORIENTE
METRO VALLE,51 METRO PONIENTE
SURESTE,60 PUEBLA
OCCIDENTE BAJIO,31 JALISCO
SURESTE,61 CHIAPAS
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
METRO SUR,41 METRO SURORIENTE
SURESTE,61 CHIAPAS
OCCIDENTE BAJIO,33 BAJIO
OCCIDENTE BAJIO,32 MICHOACÁN
METRO SUR,40 METRO ORIENTE
METRO SUR,41 METRO SURORIENTE
NORTE,20 NORESTE
METRO SUR,40 METRO ORIENTE
METRO VALLE,51 METRO PONIENTE
METRO VALLE,50 METRO NORPONIENTE
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,31 JALISCO
SURESTE,63 GOLFO
SURESTE,62 PENINSULA
METRO SUR,40 METRO ORIENTE
METRO VALLE,50 METRO NORPONIENTE
SURESTE,61 CHIAPAS
SURESTE,62 PENINSULA
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
SURESTE,60 PUEBLA
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
FRONTERA PACIFICO,10 FRONTERA OESTE
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
NORTE,21 HUASTECA
FRONTERA PACIFICO,11 PACIFICO
SURESTE,62 PENINSULA
NORTE,21 HUASTECA
FRONTERA PACIFICO,10 FRONTERA OESTE
FRONTERA PACIFICO,10 FRONTERA OESTE
METRO VALLE,50 METRO NORPONIENTE
SURESTE,60 PUEBLA
SURESTE,62 PENINSULA
NORTE,21 HUASTECA
METRO SUR,42 SUR
SURESTE,61 CHIAPAS
OCCIDENTE BAJIO,33 BAJIO
SURESTE,63 GOLFO
SURESTE,60 PUEBLA
METRO SUR,42 SUR
METRO SUR,42 SUR
METRO SUR,41 METRO SURORIENTE
METRO SUR,42 SUR
OCCIDENTE BAJIO,31 JALISCO
NORTE,20 NORESTE
SURESTE,60 PUEBLA
METRO SUR,41 METRO SURORIENTE
METRO VALLE,50 METRO NORPONIENTE
NORTE,20 NORESTE
SURESTE,61 CHIAPAS
OCCIDENTE BAJIO,33 BAJIO
METRO SUR,40 METRO ORIENTE
SURESTE,60 PUEBLA
METRO VALLE,51 METRO PONIENTE
SURESTE,62 PENINSULA
FRONTERA PACIFICO,11 PACIFICO
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
NORTE,21 HUASTECA
OCCIDENTE BAJIO,33 BAJIO
METRO SUR,40 METRO ORIENTE
METRO SUR,41 METRO SURORIENTE
METRO VALLE,52 VALLE DE TOLUCA
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,33 BAJIO
SURESTE,62 PENINSULA
METRO SUR,41 METRO SURORIENTE
METRO SUR,40 METRO ORIENTE
SURESTE,62 PENINSULA
METRO SUR,40 METRO ORIENTE
METRO SUR,40 METRO ORIENTE
METRO SUR,40 METRO ORIENTE
METRO SUR,40 METRO ORIENTE
NORTE,21 HUASTECA
METRO VALLE,50 METRO NORPONIENTE
FRONTERA PACIFICO,10 FRONTERA OESTE
FRONTERA PACIFICO,10 FRONTERA OESTE
SURESTE,60 PUEBLA
METRO SUR,40 METRO ORIENTE
SURESTE,60 PUEBLA
METRO VALLE,50 METRO NORPONIENTE
METRO SUR,42 SUR
SURESTE,63 GOLFO
METRO VALLE,50 METRO NORPONIENTE
OCCIDENTE BAJIO,33 BAJIO
SURESTE,63 GOLFO
SURESTE,62 PENINSULA
METRO VALLE,50 METRO NORPONIENTE
METRO VALLE,50 METRO NORPONIENTE
FRONTERA PACIFICO,10 FRONTERA OESTE
SURESTE,62 PENINSULA
METRO SUR,42 SUR
NORTE,21 HUASTECA
METRO SUR,41 METRO SURORIENTE
METRO VALLE,51 METRO PONIENTE
METRO VALLE,52 VALLE DE TOLUCA
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
OCCIDENTE BAJIO,31 JALISCO
METRO VALLE,50 METRO NORPONIENTE
SURESTE,60 PUEBLA
METRO VALLE,50 METRO NORPONIENTE
NORTE,21 HUASTECA
SURESTE,61 CHIAPAS
FRONTERA PACIFICO,11 PACIFICO
NORTE,20 NORESTE
OCCIDENTE BAJIO,32 MICHOACÁN
NORTE,21 HUASTECA
SURESTE,60 PUEBLA
OCCIDENTE BAJIO,31 JALISCO
OCCIDENTE BAJIO,33 BAJIO
SURESTE,60 PUEBLA
METRO SUR,40 METRO ORIENTE
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
METRO SUR,41 METRO SURORIENTE
METRO VALLE,50 METRO NORPONIENTE
OCCIDENTE BAJIO,31 JALISCO
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,32 MICHOACÁN
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
SURESTE,61 CHIAPAS
FRONTERA PACIFICO,10 FRONTERA OESTE
METRO VALLE,50 METRO NORPONIENTE
OCCIDENTE BAJIO,31 JALISCO
SURESTE,63 GOLFO
SURESTE,62 PENINSULA
SURESTE,61 CHIAPAS
METRO SUR,41 METRO SURORIENTE
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,33 BAJIO
OCCIDENTE BAJIO,31 JALISCO
METRO VALLE,52 VALLE DE TOLUCA
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
METRO SUR,42 SUR
METRO VALLE,52 VALLE DE TOLUCA
METRO SUR,42 SUR
NORTE,20 NORESTE
SURESTE,61 CHIAPAS
METRO SUR,41 METRO SURORIENTE
OCCIDENTE BAJIO,33 BAJIO
METRO VALLE,52 VALLE DE TOLUCA
OCCIDENTE BAJIO,32 MICHOACÁN
METRO VALLE,50 METRO NORPONIENTE
FRONTERA PACIFICO,11 PACIFICO
METRO VALLE,52 VALLE DE TOLUCA
METRO SUR,40 METRO ORIENTE
SURESTE,60 PUEBLA
METRO SUR,40 METRO ORIENTE
SURESTE,62 PENINSULA
SURESTE,63 GOLFO
METRO SUR,40 METRO ORIENTE
NORTE,20 NORESTE
METRO SUR,41 METRO SURORIENTE
FRONTERA PACIFICO,10 FRONTERA OESTE
NORTE,21 HUASTECA
OCCIDENTE BAJIO,33 BAJIO
METRO SUR,41 METRO SURORIENTE
FRONTERA PACIFICO,10 FRONTERA OESTE
FRONTERA PACIFICO,11 PACIFICO
OCCIDENTE BAJIO,33 BAJIO
METRO VALLE,50 METRO NORPONIENTE
METRO VALLE,51 METRO PONIENTE
NORTE,20 NORESTE
OCCIDENTE BAJIO,31 JALISCO
SURESTE,63 GOLFO
NORTE,20 NORESTE
METRO SUR,41 METRO SURORIENTE
METRO VALLE,51 METRO PONIENTE
METRO VALLE,50 METRO NORPONIENTE
METRO SUR,41 METRO SURORIENTE
SURESTE,63 GOLFO
OCCIDENTE BAJIO,31 JALISCO
FRONTERA PACIFICO,10 FRONTERA OESTE
SURESTE,60 PUEBLA
METRO VALLE,51 METRO PONIENTE
FRONTERA PACIFICO,12 LAGUNA CHIHUAHUA
OCCIDENTE BAJIO,31 JALISCO
SURESTE,60 PUEBLA
SURESTE,62 PENINSULA
FRONTERA PACIFICO,11 PACIFICO
SURESTE,60 PUEBLA
SURESTE,63 GOLFO
SURESTE,62 PENINSULA
FRONTERA PACIFICO,10 FRONTERA OESTE
OCCIDENTE BAJIO,33 BAJIO
METRO SUR,40 METRO ORIENTE
NORTE,20 NORESTE
SURESTE,63 GOLFO
METRO VALLE,52 VALLE DE TOLUCA
METRO VALLE,51 METRO PONIENTE
METRO VALLE,50 METRO NORPONIENTE
SURESTE,60 PUEBLA
SURESTE,63 GOLFO
METRO VALLE,51 METRO PONIENTE
NORTE,21 HUASTECA
NORTE,20 NORESTE
OCCIDENTE BAJIO,33 BAJIO
SURESTE,61 CHIAPAS
NORTE,20 NORESTE
SURESTE,61 CHIAPAS
METRO SUR,42 SUR
METRO SUR,41 METRO SURORIENTE
METRO SUR,41 METRO SURORIENTE
METRO VALLE,51 METRO PONIENTE
METRO SUR,40 METRO ORIENTE
NORTE,21 HUASTECA
OCCIDENTE BAJIO,33 BAJIO
METRO VALLE,52 VALLE DE TOLUCA
SURESTE,62 PENINSULA
OCCIDENTE BAJIO,30 COSTA OCCIDENTE
METRO SUR,40 METRO ORIENTE
OCCIDENTE BAJIO,31 JALISCO
METRO SUR,41 METRO SURORIENTE
NORTE,20 NORESTE
METRO VALLE,50 METRO NORPONIENTE
METRO SUR,42 SUR
SURESTE,60 PUEBLA
SURESTE,61 CHIAPAS
NORTE,21 HUASTECA
FRONTERA PACIFICO,11 PACIFICO
OCCIDENTE BAJIO,33 BAJIO
METRO SUR,41 METRO SURORIENTE
METRO SUR,40 METRO ORIENTE
