REGION,TERRITORIO
41 METRO SURORIENTE,4104 TLALPAN
30 COSTA OCCIDENTE,3002 JALISCO SUR
61 CHIAPAS,6101 TUXTLA
21 HUASTECA,2103 SAN LUIS FORANEO
21 HUASTECA,2105 TULA
20 NORESTE,2003 MONTERREY
62 PENINSULA,6202 CAMPECHE
41 METRO SURORIENTE,4106 CHALCO
51 METRO PONIENTE,5106 NAUCALPAN
60 PUEBLA,6006 XALAPA
31 JALISCO,3101 ALTOS JALISCO
61 CHIAPAS,6101 TUXTLA
30 COSTA OCCIDENTE,3002 JALISCO SUR
41 METRO SURORIENTE,4103 COYOACAN
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3303 IRAPUATO
32 MICHOACÁN,3203 ZACAPU
40 METRO ORIENTE,4003 CHIMALHUACAN
41 METRO SURORIENTE,4102 ALVARO OBREGON
20 NORESTE,2007 POZA RICA
40 METRO ORIENTE,4005 ACOLMAN
51 METRO PONIENTE,5103 BENITO JUAREZ
50 METRO NORPONIENTE,5001 CUAUTITLAN IZCALLI
41 METRO SURORIENTE,4102 ALVARO OBREGON
31 JALISCO,3101 ALTOS JALISCO
63 GOLFO,6303 VILLAHERMOSA
62 PENINSULA,6204 UMAN
40 METRO ORIENTE,4003 CHIMALHUACAN
50 METRO NORPONIENTE,5006 VENUSTIANO CARRANZA
61 CHIAPAS,6104 JUCHITAN
62 PENINSULA,6203 MERIDA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
60 PUEBLA,6005 ORIZABA
30 COSTA OCCIDENTE,3001 PUERTO VALLARTA
10 FRONTERA OESTE,1001 TIJUANA
30 COSTA OCCIDENTE,3004 COLIMA
21 HUASTECA,2101 AGUASCALIENTES
11 PACIFICO,1101 LA PAZ
62 PENINSULA,6201 CANCUN
21 HUASTECA,2107 TULANCINGO
10 FRONTERA OESTE,1001 TIJUANA
10 FRONTERA OESTE,1002 MEXICALI
50 METRO NORPONIENTE,5002 ATIZAPAN
60 PUEBLA,6006 XALAPA
62 PENINSULA,6205 PLAYA DEL CARMEN
21 HUASTECA,2102 SAN LUIS POTOSÍ
42 SUR,4202 JIUTEPEC
61 CHIAPAS,6101 TUXTLA
33 BAJIO,3303 IRAPUATO
63 GOLFO,6305 CIUDAD DEL CARMEN
60 PUEBLA,6003 ZACAPOAXTLA
42 SUR,4204 QUECHULTENANGO
42 SUR,4202 JIUTEPEC
41 METRO SURORIENTE,4105 TLAHUAC
42 SUR,4201 CUERNAVACA
31 JALISCO,3101 ALTOS JALISCO
20 NORESTE,2008 MARTINEZ DE LA TORRE
60 PUEBLA,6002 PUEBLA
41 METRO SURORIENTE,4106 CHALCO
50 METRO NORPONIENTE,5003 TLALNEPANTLA
